Id,Label,GC
1004,0,-2
1005,0,112
1006,0,-2
1007,0,115
1008,0,247
1009,0,137
1010,0,64
1011,0,27
1012,0,27
1013,0,285
1014,0,161
1015,0,100
1016,0,131
1017,0,336
1018,0,259
1019,0,456
1020,0,18
1021,0,678
1022,0,322
1023,0,336
1024,0,647
1025,0,647
1026,0,-2
1027,0,247
1028,0,65
1029,0,161
1030,0,588
1031,0,23
1032,0,98
1033,0,156
1034,0,49
1035,0,647
1036,0,588
1037,0,647
1038,0,161
1039,0,247
1040,0,44
1041,0,210
1042,0,305
1043,0,115
1044,0,147
1045,0,647
1046,0,39
1047,0,647
1048,0,13
1049,0,588
1050,0,550
1051,0,-2
1052,0,161
1053,0,506
1054,0,115
1055,0,588
1056,0,161
1057,0,259
1058,0,165
1059,0,96
1060,0,112
1061,0,167
1062,0,-2
1063,0,647
1064,0,49
1065,0,647
1066,0,127
1067,0,294
1068,0,161
1069,0,49
1070,0,550
1071,0,647
1072,0,115
1073,0,550
1074,0,259
1075,0,115
1076,0,588
1077,0,135
1078,0,430
1079,0,18
1080,0,647
1081,0,125
1082,0,147
1083,0,484
1084,0,54
1085,0,100
1086,0,204
1087,0,647
1088,0,647
1089,0,647
1090,0,49
1091,0,147
1092,0,285
1093,0,37
1094,0,647
1095,0,294
1096,0,247
1097,0,301
1098,0,322
1099,0,138
1100,0,135
1101,0,305
1102,0,85
1103,0,647
1104,0,64
1105,0,131
1106,0,75
1107,0,322
1108,0,305
1109,0,96
1110,0,21
1111,0,647
1112,0,135
1113,0,54
1114,0,125
1115,0,27
1116,0,64
1117,0,441
1118,0,161
1119,0,309
1120,0,647
1121,0,285
1122,0,294
1123,0,506
1124,0,131
1125,0,135
1126,0,54
1127,0,-2
1128,0,138
1129,0,37
1130,0,147
1131,0,13
1132,0,588
1133,0,13
1134,0,13
1135,0,54
1136,0,588
1137,0,430
1138,0,305
1139,0,64
1140,0,647
1141,0,147
1142,0,647
1143,0,647
1144,0,-2
1145,0,413
1146,0,506
1147,0,647
1148,0,-2
1149,0,18
1150,0,161
1151,0,550
1152,0,301
1153,0,27
1154,0,190
1155,0,506
1156,0,21
1157,0,506
1158,0,647
1159,0,-2
1160,0,190
1161,0,588
1162,0,131
1163,0,247
1164,0,96
1165,0,647
1166,0,204
1167,0,-2
1168,0,647
1169,0,22
1170,0,588
1171,0,22
1172,0,-2
1173,0,506
1174,0,506
1175,0,22
1176,0,161
1177,0,125
