Source,Target,Type,Id,Weight
260,261,undirected,462,1
260,262,undirected,463,1
260,431,undirected,464,1
260,509,undirected,465,1
260,611,undirected,466,1
261,262,undirected,467,1
263,264,undirected,468,1
263,265,undirected,469,1
263,266,undirected,470,1
264,265,undirected,471,1
264,266,undirected,472,1
265,266,undirected,473,1
266,466,undirected,474,1
267,268,undirected,475,1
267,269,undirected,476,1
267,388,undirected,477,1
268,269,undirected,478,1
269,270,undirected,479,1
269,271,undirected,480,1
269,272,undirected,481,1
269,273,undirected,482,1
269,274,undirected,483,1
269,275,undirected,484,1
27,28,undirected,485,1
270,271,undirected,486,1
270,272,undirected,487,1
270,273,undirected,488,1
270,274,undirected,489,1
270,275,undirected,490,1
270,300,undirected,491,1
271,272,undirected,492,1
271,273,undirected,493,1
271,274,undirected,494,1
271,275,undirected,495,1
271,300,undirected,496,1
272,273,undirected,497,1
272,274,undirected,498,1
272,275,undirected,499,1
273,274,undirected,500,1
273,275,undirected,501,1
274,275,undirected,502,1
276,277,undirected,503,1
276,390,undirected,504,1
276,401,undirected,505,1
276,473,undirected,506,1
277,436,undirected,507,1
278,279,undirected,508,1
278,529,undirected,509,1
279,479,undirected,510,1
279,529,undirected,511,1
28,142,undirected,512,1
28,150,undirected,513,1
28,155,undirected,514,1
28,34,undirected,515,1
28,341,undirected,516,1
28,352,undirected,517,1
28,386,undirected,518,1
28,400,undirected,519,1
28,401,undirected,520,1
28,473,undirected,521,1
28,474,undirected,522,1
28,475,undirected,523,1
28,477,undirected,524,1
28,51,undirected,525,1
28,52,undirected,526,1
28,576,undirected,527,1
28,578,undirected,528,1
280,346,undirected,529,1
281,282,undirected,530,1
281,283,undirected,531,1
281,325,undirected,532,1
282,283,undirected,533,1
282,293,undirected,534,1
282,325,undirected,535,1
284,285,undirected,536,1
284,286,undirected,537,1
284,287,undirected,538,1
284,288,undirected,539,1
285,286,undirected,540,1
285,287,undirected,541,1
285,288,undirected,542,1
285,575,undirected,543,1
286,287,undirected,544,1
286,288,undirected,545,1
286,580,undirected,546,1
287,288,undirected,547,1
289,290,undirected,548,1
289,291,undirected,549,1
289,292,undirected,550,1
289,547,undirected,551,1
289,623,undirected,552,1
29,277,undirected,553,1
29,331,undirected,554,1
29,442,undirected,555,1
29,483,undirected,556,1
29,53,undirected,557,1
29,92,undirected,558,1
290,291,undirected,559,1
290,292,undirected,560,1
290,547,undirected,561,1
290,623,undirected,562,1
291,292,undirected,563,1
293,294,undirected,564,1
295,296,undirected,565,1
296,320,undirected,566,1
296,337,undirected,567,1
296,338,undirected,568,1
296,339,undirected,569,1
297,298,undirected,570,1
297,299,undirected,571,1
298,299,undirected,572,1
299,327,undirected,573,1
299,609,undirected,574,1
3,4,undirected,575,1
30,31,undirected,576,1
30,32,undirected,577,1
300,305,undirected,578,1
301,302,undirected,579,1
301,303,undirected,580,1
301,346,undirected,581,1
302,303,undirected,582,1
303,561,undirected,583,1
304,305,undirected,584,1
304,306,undirected,585,1
304,307,undirected,586,1
305,306,undirected,587,1
305,307,undirected,588,1
306,307,undirected,589,1
308,309,undirected,590,1
308,310,undirected,591,1
308,489,undirected,592,1
309,310,undirected,593,1
31,187,undirected,594,1
31,315,undirected,595,1
31,32,undirected,596,1
31,342,undirected,597,1
31,42,undirected,598,1
31,464,undirected,599,1
31,466,undirected,600,1
31,473,undirected,601,1
311,312,undirected,602,1
311,313,undirected,603,1
312,313,undirected,604,1
312,346,undirected,605,1
312,400,undirected,606,1
313,349,undirected,607,1
313,352,undirected,608,1
313,400,undirected,609,1
314,315,undirected,610,1
315,423,undirected,611,1
315,464,undirected,612,1
315,466,undirected,613,1
315,522,undirected,614,1
316,317,undirected,615,1
316,456,undirected,616,1
316,459,undirected,617,1
317,326,undirected,618,1
317,424,undirected,619,1
317,456,undirected,620,1
317,459,undirected,621,1
317,482,undirected,622,1
318,491,undirected,623,1
319,320,undirected,624,1
32,187,undirected,625,1
32,342,undirected,626,1
32,584,undirected,627,1
321,322,undirected,628,1
321,323,undirected,629,1
321,324,undirected,630,1
322,323,undirected,631,1
322,324,undirected,632,1
323,324,undirected,633,1
324,567,undirected,634,1
325,326,undirected,635,1
325,468,undirected,636,1
326,424,undirected,637,1
326,482,undirected,638,1
326,541,undirected,639,1
327,438,undirected,640,1
327,468,undirected,641,1
327,609,undirected,642,1
328,329,undirected,643,1
328,330,undirected,644,1
329,330,undirected,645,1
329,612,undirected,646,1
33,438,undirected,647,1
33,53,undirected,648,1
332,333,undirected,649,1
332,334,undirected,650,1
333,334,undirected,651,1
335,336,undirected,652,1
335,483,undirected,653,1
335,593,undirected,654,1
336,604,undirected,655,1
337,338,undirected,656,1
337,339,undirected,657,1
338,339,undirected,658,1
34,138,undirected,659,1
34,35,undirected,660,1
34,36,undirected,661,1
34,37,undirected,662,1
34,529,undirected,663,1
340,341,undirected,664,1
340,376,undirected,665,1
340,422,undirected,666,1
342,343,undirected,667,1
343,344,undirected,668,1
343,649,undirected,669,1
344,345,undirected,670,1
344,462,undirected,671,1
344,464,undirected,672,1
344,465,undirected,673,1
344,489,undirected,674,1
345,462,undirected,675,1
345,464,undirected,676,1
345,465,undirected,677,1
345,489,undirected,678,1
346,347,undirected,679,1
346,348,undirected,680,1
346,650,undirected,681,1
347,348,undirected,682,1
349,350,undirected,683,1
349,351,undirected,684,1
349,352,undirected,685,1
349,353,undirected,686,1
35,138,undirected,687,1
35,36,undirected,688,1
35,37,undirected,689,1
350,351,undirected,690,1
350,352,undirected,691,1
350,353,undirected,692,1
351,352,undirected,693,1
351,353,undirected,694,1
351,507,undirected,695,1
351,520,undirected,696,1
352,353,undirected,697,1
353,592,undirected,698,1
354,355,undirected,699,1
354,604,undirected,700,1
356,357,undirected,701,1
356,407,undirected,702,1
356,599,undirected,703,1
356,600,undirected,704,1
356,601,undirected,705,1
357,405,undirected,706,1
357,517,undirected,707,1
358,359,undirected,708,1
358,360,undirected,709,1
358,370,undirected,710,1
358,513,undirected,711,1
359,360,undirected,712,1
359,370,undirected,713,1
36,137,undirected,714,1
36,138,undirected,715,1
36,37,undirected,716,1
36,372,undirected,717,1
36,529,undirected,718,1
361,362,undirected,719,1
361,585,undirected,720,1
361,586,undirected,721,1
361,587,undirected,722,1
363,364,undirected,723,1
363,365,undirected,724,1
364,365,undirected,725,1
365,374,undirected,726,1
365,419,undirected,727,1
366,367,undirected,728,1
366,431,undirected,729,1
366,509,undirected,730,1
