Id,Label,GC
741,0,367
742,0,138
743,0,367
744,0,157
745,0,112
746,0,2
747,0,112
748,0,135
749,0,54
750,0,49
751,0,1
752,0,10
753,0,157
754,0,138
