777:	6229 
778:	1579 11997 
779:	115 124 1579 
780:	1021 
781:	1021 
782:	1021 
783:	1021 
784:	1021 
785:	1021 
786:	1021 
787:	2705 5915 
788:	6278 14600 
789:	4791 12610 14600 18849 
790:	12065 14600 15461 
791:	6312 
792:	6312 
793:	6312 
794:	1934 3502 
795:	913 1317 1934 3502 
796:	1934 
797:	338 
798:	338 
799:	13663 
800:	13663 
801:	13663 
802:	124 12314 
803:	11808 
804:	11808 
805:	11808 
806:	236 
807:	236 
808:	236 
809:	236 
810:	236 1579 17179 
811:	236 2379 
812:	236 3255 11427 
813:	236 
814:	236 
815:	236 2379 
816:	236 
817:	236 1388 
818:	124 236 
819:	236 
820:	1579 2468 6156 10698 
821:	6454 10698 17738 
822:	1880 
823:	1880 
824:	1880 
825:	6471 
826:	6471 
827:	6471 
828:	6471 
829:	236 3993 
830:	3993 
831:	4303 
832:	4303 
833:	4303 
834:	1458 
835:	115 1458 17106 
836:	1458 
837:	6454 
838:	236 1579 2379 13024 
839:	4838 
840:	11251 
841:	11251 
842:	11251 
843:	4838 
844:	2409 
845:	4838 10420 13024 
846:	236 
847:	236 
848:	236 
849:	236 
850:	115 1579 3187 
851:	4640 
852:	236 8976 11184 
853:	2734 5763 6605 
854:	5763 
855:	3187 
856:	14485 
857:	335 2468 6605 14485 
858:	11251 
859:	4838 11251 
860:	216 
861:	216 
862:	216 
863:	216 
864:	2609 
865:	14485 
866:	14485 
867:	3187 
868:	3187 
869:	3187 
870:	6721 8976 13448 
871:	3655 
872:	3655 
873:	3655 
874:	3518 
875:	2753 14485 
876:	11412 14485 
877:	216 2446 
878:	216 
879:	216 
880:	335 
881:	335 
882:	335 6760 
883:	335 
884:	4838 
885:	4838 
886:	4838 
887:	4742 
888:	4742 
889:	12309 
890:	4742 
891:	4742 
892:	6777 
893:	2379 6777 
894:	6794 
895:	6794 
896:	6794 
897:	10698 
898:	10698 
899:	3557 
900:	3557 
901:	2823 3781 
902:	2823 
903:	2926 
904:	13845 
905:	11251 13845 
906:	2336 
907:	2336 6832 
908:	2823 
909:	2823 
910:	2823 
911:	2779 
912:	2779 
913:	2779 
914:	5074 
915:	10641 
916:	10641 
917:	10641 
918:	10641 
919:	10641 
920:	10641 
921:	10641 
922:	10641 
923:	10641 
924:	6605 
925:	2198 6605 
926:	2379 6605 12565 
